Role,Skills
Data Analyst,"Python,SQL,Excel,Pandas,Power BI,Statistics"
Machine Learning Engineer,"Python,Machine Learning,Scikit-learn,TensorFlow,Docker,FastAPI"
AI Engineer,"Python,Deep Learning,LLM,RAG,APIs,PyTorch"
Python Developer,"Python,Django,Flask,Git,SQL"
NLP Engineer,"Python,NLP,Transformers,Hugging Face,spaCy"
Computer Vision Engineer,"Python,OpenCV,CNN,YOLO,TensorFlow"
Data Scientist,"Python,Pandas,NumPy,Machine Learning,SQL,Statistics"
Backend Developer,"Python,Flask,Django,REST API,SQL,Docker"
Cloud Engineer,"AWS,Azure,GCP,Docker,Kubernetes,Linux"
Software Engineer,"Python,Java,C++,Git,SQL,OOP"
